date,time,IntTemp,RH ,windspd,winddir,windmax,Rainfall,Pressure ,Dust,above 5,newdir1,newdir,newdir2,newdir3
24/05/2018,00:00,5.61,39.2,1.3,105,2.65,0,912.4,No Dust,FALSE,1.832595715,0.046251225,-0.261799388,1.524545102
24/05/2018,00:30,5.1,43.4,1.66,122.2,3.1,0,912.4,No Dust,FALSE,2.132792346,0.054105207,-0.561996019,1.51669112
24/05/2018,01:00,4.38,46,1.37,130,2.98,0,912.2,No Dust,FALSE,2.268928028,0.052010812,-0.698131701,1.518785515
24/05/2018,01:30,3.77,45.8,1.94,124.3,4.09,0,912.2,No Dust,FALSE,2.16944426,0.071383966,-0.598647933,1.49941236
24/05/2018,02:00,3.51,47.2,1.32,130.7,4.1,0,912,No Dust,FALSE,2.281145332,0.071558499,-0.710349006,1.499237827
24/05/2018,02:30,3.19,48.9,1.68,146.9,4.86,0,911.8,No Dust,FALSE,2.563888671,0.084823002,-0.993092344,1.485973325
24/05/2018,03:00,2.89,51.4,1.86,142.1,3.99,0,911.6,No Dust,FALSE,2.480112867,0.069638637,-0.90931654,1.50115769
24/05/2018,03:30,2.33,54.3,1.56,151.8,3.25,0,911.4,No Dust,FALSE,2.649409805,0.056723201,-1.078613478,1.514073126
24/05/2018,04:00,1.76,56,1.96,151.4,3.75,0,911.4,No Dust,FALSE,2.642428488,0.065449847,-1.071632161,1.50534648
24/05/2018,04:30,1.46,53.1,1.61,156.4,4.65,0,911.2,No Dust,FALSE,2.72969495,0.08115781,-1.158898623,1.489638517
24/05/2018,05:00,1.26,55,1.07,118.3,2.48,0,911.4,No Dust,FALSE,2.064724505,0.043284165,-0.493928178,1.527512161
24/05/2018,05:30,0.95,58,1.41,158.3,2.94,0,911.7,No Dust,FALSE,2.762856206,0.05131268,-1.192059879,1.519483647
24/05/2018,06:00,0.433,56.79,1.168,151.5,2.705,0,911.7,Dust,FALSE,2.644173817,0.047211156,-1.07337749,1.523585171
24/05/2018,06:30,0.761,52.71,1.346,130.1,3.695,0,911.9,Dust,FALSE,2.270673357,0.064489916,-0.69987703,1.506306411
24/05/2018,07:00,2,50.22,1.676,141.4,3.352,0,911.8,Dust,FALSE,2.467895562,0.058503437,-0.897099236,1.51229289
24/05/2018,07:30,3.509,46.39,1.631,143.6,3.352,0,911.9,Dust,FALSE,2.506292806,0.058503437,-0.935496479,1.51229289
24/05/2018,08:00,5.115,43.13,1.594,174.1,2.911,0,912.2,Dust,FALSE,3.038618228,0.050806535,-1.467821901,1.519989792
24/05/2018,08:30,6.426,40.09,1.397,205.9,3.038,0,912.6,Dust,FALSE,3.59363293,0.053023103,-2.022836603,1.517773224
24/05/2018,09:00,7.419,39.68,1.414,235.9,2.803,0,912.7,Dust,FALSE,4.117231705,0.048921579,-2.546435379,1.521874748
24/05/2018,09:30,7.519,35.79,0.755,23.9,2.156,0,913,Dust,FALSE,0.417133691,0.037629299,1.153662636,1.533167028
24/05/2018,10:00,7.993,33.86,0.742,36.4,1.646,0,912.9,Dust,FALSE,0.635299848,0.028728119,0.935496479,1.542068207
24/05/2018,10:30,9.01,31.76,1.27,46.11,3.165,0,912.9,Dust,FALSE,0.804771318,0.055239671,0.766025009,1.515556656
24/05/2018,11:00,10.65,27.38,1.613,352.8,3.793,0,913.1,Dust,FALSE,6.157521601,0.066200339,-4.586725274,1.504595988
24/05/2018,11:30,11.7,26.15,2.716,271.4,6.37,0,913.3,Dust,TRUE,4.73682359,0.111177473,-3.166027263,1.459618853
24/05/2018,12:00,11.92,24.55,3.966,258,8.07,0,913.4,Dust,TRUE,4.50294947,0.140848071,-2.932153143,1.429948256
24/05/2018,12:30,11.97,24.03,4.61,264.7,7.566,0,913.4,Dust,TRUE,4.61988653,0.132051611,-3.049090203,1.438744716
24/05/2018,13:00,12.06,22.71,4.316,256.9,7.35,0,913.7,Dust,TRUE,4.483750848,0.1282817,-2.912954522,1.442514627
24/05/2018,13:30,12.35,20.85,5.062,241.1,8.01,0,913.8,Dust,TRUE,4.207988827,0.139800873,-2.6371925,1.430995454
24/05/2018,14:00,12.7,20.78,5.016,238.9,9.1,0,914.2,Dust,TRUE,4.169591583,0.158824962,-2.598795256,1.411971365
24/05/2018,14:30,12.92,20.95,4.939,243.6,8.96,0,914.2,Dust,TRUE,4.251622058,0.156381501,-2.680825731,1.414414826
24/05/2018,15:00,13.2,21.35,4.726,236.9,7.869,0,914.6,Dust,TRUE,4.134684998,0.137339959,-2.563888671,1.433456368
24/05/2018,15:30,13.54,20.23,4.559,256.3,7.507,0,914.6,Dust,TRUE,4.473278873,0.131021867,-2.902482546,1.43977446
24/05/2018,16:00,13.59,21.02,3.488,248.1,6.684,0,914.6,Dust,TRUE,4.330161874,0.116657807,-2.759365547,1.45413852
24/05/2018,16:30,13.73,19.31,4.342,241.2,7.438,0,914.9,Dust,TRUE,4.209734156,0.12981759,-2.638937829,1.440978737
24/05/2018,17:00,14.03,19.07,4.116,241.6,9.02,0,915,Dust,TRUE,4.216715473,0.157428699,-2.645919146,1.413367628
24/05/2018,17:30,14.3,18.76,3.748,250.4,5.733,0,915,Dust,TRUE,4.370304447,0.100059726,-2.79950812,1.470736601
24/05/2018,18:00,14.29,20.91,3.998,233.8,8.28,0,915.1,Dust,TRUE,4.080579791,0.144513262,-2.509783464,1.426283065
24/05/2018,18:30,14.41,21.71,3.625,238.3,6.488,0,915.1,Dust,TRUE,4.159119608,0.113236962,-2.588323281,1.457559365
24/05/2018,19:00,14.32,23.37,3.955,256.7,7.115,0,915.1,Dust,TRUE,4.48026019,0.124180176,-2.909463863,1.446616151
24/05/2018,19:30,13.75,22.71,3.71,234.9,7.546,0,915,Dust,TRUE,4.099778413,0.131702545,-2.528982086,1.439093781
24/05/2018,20:00,13.63,23.46,3.899,237.9,6.595,0,915,Dust,TRUE,4.15213829,0.115104464,-2.581341964,1.455691863
24/05/2018,20:30,13.03,25.23,3.213,247,6.654,0,915.1,Dust,TRUE,4.310963252,0.116134208,-2.740166926,1.454662118
24/05/2018,00:00,5.61,39.15,1.296,105,2.646,0,912.4,No Dust,FALSE,1.832595715,0.046181412,-0.261799388,1.524614915
24/05/2018,00:30,5.095,43.37,1.663,122.2,3.097,0,912.4,No Dust,FALSE,2.132792346,0.054052847,-0.561996019,1.51674348
24/05/2018,01:00,4.375,46.03,1.374,130,2.979,0,912.2,No Dust,FALSE,2.268928028,0.051993358,-0.698131701,1.518802968
24/05/2018,01:30,3.773,45.77,1.936,124.3,4.087,0,912.2,No Dust,FALSE,2.16944426,0.071331607,-0.598647933,1.49946472
24/05/2018,02:00,3.514,47.21,1.316,130.7,4.096,0,912,No Dust,FALSE,2.281145332,0.071488686,-0.710349006,1.499307641
24/05/2018,02:30,3.194,48.93,1.68,146.9,4.861,0,911.8,No Dust,FALSE,2.563888671,0.084840455,-0.993092344,1.485955872
24/05/2018,03:00,2.886,51.39,1.864,142.1,3.989,0,911.6,No Dust,FALSE,2.480112867,0.069621184,-0.90931654,1.501175143
24/05/2018,03:30,2.333,54.26,1.555,151.8,3.254,0,911.4,No Dust,FALSE,2.649409805,0.056793014,-1.078613478,1.514003313
24/05/2018,04:00,1.759,56,1.959,151.4,3.753,0,911.4,No Dust,FALSE,2.642428488,0.065502207,-1.071632161,1.50529412
24/05/2018,04:30,1.459,53.14,1.61,156.4,4.645,0,911.2,No Dust,FALSE,2.72969495,0.081070544,-1.158898623,1.489725783
24/05/2018,05:00,1.258,54.99,1.067,118.3,2.479,0,911.4,No Dust,FALSE,2.064724505,0.043266712,-0.493928178,1.527529615
24/05/2018,05:30,0.945,58.04,1.412,158.3,2.94,0,911.7,No Dust,FALSE,2.762856206,0.05131268,-1.192059879,1.519483647
24/05/2018,21:00,12.39,25.16,2.624,258.1,4.606,0,915.2,No Dust,FALSE,4.504694799,0.080389865,-2.933898473,1.490406461
24/05/2018,21:30,11.99,28.67,1.2,311.8,2.597,0,915.6,No Dust,FALSE,5.441936608,0.045326201,-3.871140281,1.525470126
24/05/2018,22:00,11.57,30.78,1.599,47.07,3.185,0,915.7,No Dust,FALSE,0.821526479,0.055588737,0.749269848,1.51520759
24/05/2018,22:30,10.72,31.94,1.507,124.8,3.949,0,915.7,No Dust,FALSE,2.178170906,0.068923052,-0.60737458,1.501873275
24/05/2018,23:00,9.3,34.97,2.511,120.5,5.106,0,915.8,No Dust,TRUE,2.103121749,0.089116512,-0.532325422,1.481679815
24/05/2018,23:30,7.562,38.16,2.531,120.1,5.459,0,916.1,No Dust,TRUE,2.096140432,0.095277524,-0.525344105,1.475518803